config,network,rmse,mape,rhat_sigma,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0,nu
190,2,0.013958150485431909,0.9836555396741976,2.3401806,0.009549795361527967,0.061391541609822645,0.002728512960436562,0.03547066848567531,5.0
191,3,0.01419276236934884,1.0023169365740678,2.621931,0.036834924965893585,0.12414733969986358,0.005457025920873124,0.08594815825375171,5.0
192,4,0.014129882551019306,0.97823277888321,1.3193396,0.036834924965893585,0.12687585266030013,0.0068212824010914054,0.08594815825375171,5.0
193,1,0.014131840857049159,0.9550967542409704,1.1585151,0.036834924965893585,0.12005457025920874,0.004092769440654843,0.08594815825375171,5.0
194,2,0.014137777156925284,0.9782568371595434,2.013184,0.023192360163710776,0.10231923601637108,0.004092769440654843,0.07094133697135062,5.0
195,3,0.014196716849494122,1.0071670782685245,1.0278348,0.036834924965893585,0.12141882673942701,0.0068212824010914054,0.08458390177353342,5.0
196,4,0.014104394900298313,0.9639103199299051,1.0285895,0.036834924965893585,0.12551159618008187,0.008185538881309686,0.08458390177353342,5.0
197,1,0.014171581372020285,0.955430283801595,1.0052575,0.036834924965893585,0.12141882673942701,0.009549795361527967,0.08594815825375171,5.0
198,2,0.014132402339758408,1.0074579336206877,2.6476605,0.010914051841746248,0.07366984993178717,0.002728512960436562,0.04229195088676671,5.0
199,3,0.014201655684305264,1.0117990832820256,1.3381748,0.036834924965893585,0.12414733969986358,0.0068212824010914054,0.08594815825375171,5.0
2,2,0.014188538089082759,1.0102753983678432,1.2007995,0.021828103683492497,0.12414733969986358,0.002728512960436562,0.08049113233287858,3.0
20,4,0.014100331942432223,0.9103326275519569,1.0444864,0.030013642564802184,0.13506139154160982,0.002728512960436562,0.08594815825375171,3.0
200,4,0.01411957340190046,0.9581658106370364,1.918708,0.036834924965893585,0.12278308321964529,0.005457025920873124,0.08321964529331514,5.0
201,1,0.01416159634300936,0.9616931373077485,1.9373816,0.036834924965893585,0.12141882673942701,0.005457025920873124,0.08458390177353342,5.0
202,2,0.014113462994547424,0.9965651936789038,2.7934062,0.02455661664392906,0.1009549795361528,0.004092769440654843,0.06957708049113233,5.0
203,3,0.014197231054973912,1.0001223160195862,1.2598308,0.034106412005457026,0.12005457025920874,0.0068212824010914054,0.08321964529331514,5.0
204,4,0.014092098934761892,0.9382014905810407,1.1288941,0.03547066848567531,0.12414733969986358,0.004092769440654843,0.08458390177353342,5.0
205,1,0.01411222415000305,0.9633183292749357,2.260483,0.036834924965893585,0.12278308321964529,0.004092769440654843,0.08594815825375171,5.0
206,2,0.014142407861722871,0.97757741051443,2.5456414,0.010914051841746248,0.07094133697135062,0.002728512960436562,0.040927694406548434,5.0
207,3,0.014201422933356987,1.0066481411117116,1.9747016,0.036834924965893585,0.12141882673942701,0.008185538881309686,0.08458390177353342,5.0
208,4,0.014107884352042459,0.9660009585628355,1.8602502,0.036834924965893585,0.12551159618008187,0.005457025920873124,0.08321964529331514,5.0
209,1,0.014119567048506875,1.0180728894771331,1.978028,0.036834924965893585,0.1296043656207367,0.008185538881309686,0.09140518417462483,5.0
21,1,0.014291100881634699,0.93254492005766,1.9852791,0.020463847203274217,0.1145975443383356,0.002728512960436562,0.08049113233287858,3.0
210,2,0.014199311997960545,0.9733829270057687,1.573554,0.01227830832196453,0.08458390177353342,0.004092769440654843,0.0504774897680764,5.0
211,3,0.014202403503252083,1.0017959047624374,2.129021,0.03547066848567531,0.11732605729877217,0.0068212824010914054,0.08321964529331514,5.0
212,4,0.01412197088634383,0.991093686146864,1.5261517,0.036834924965893585,0.12141882673942701,0.005457025920873124,0.08321964529331514,5.0
213,1,0.014119944558191723,0.9708058392085028,1.0562948,0.036834924965893585,0.12278308321964529,0.009549795361527967,0.08321964529331514,5.0
214,2,0.014341886404075568,1.0454502168015134,1.0449893,0.008185538881309686,0.054570259208731244,0.002728512960436562,0.034106412005457026,5.0
215,3,0.014195969394112181,0.9973221347577668,2.724894,0.03819918144611187,0.12414733969986358,0.0068212824010914054,0.08731241473396999,5.0
216,4,0.014115384456184654,0.9713693437806616,2.1286662,0.03274215552523874,0.11050477489768076,0.005457025920873124,0.08185538881309687,5.0
217,1,0.014114968258903543,0.9599359748005922,1.0296456,0.03819918144611187,0.12005457025920874,0.010914051841746248,0.08321964529331514,6.0
218,2,0.01440144813867597,0.9876376629379275,2.4027965,0.036834924965893585,0.11186903137789904,0.0068212824010914054,0.08049113233287858,6.0
219,3,0.014183998517068782,1.0030779445471625,1.0189142,0.036834924965893585,0.12005457025920874,0.010914051841746248,0.08458390177353342,6.0
22,2,0.01420612443886005,0.9789503573448108,1.1614053,0.004092769440654843,0.0723055934515689,0.0,0.036834924965893585,3.0
220,4,0.014113616543380413,0.9526630488628509,1.0641891,0.03819918144611187,0.12005457025920874,0.009549795361527967,0.08458390177353342,6.0
221,1,0.014121745336560796,0.9444673495353895,1.3120042,0.036834924965893585,0.11596180081855388,0.009549795361527967,0.08321964529331514,6.0
222,2,0.014486344726824163,0.9590289139251114,2.496245,0.023192360163710776,0.09549795361527967,0.005457025920873124,0.06002728512960437,6.0
223,3,0.014199196319184076,1.0036646527328115,2.9097965,0.036834924965893585,0.12005457025920874,0.009549795361527967,0.08458390177353342,6.0
224,4,0.014112207489139586,0.9553116428222239,1.0975578,0.036834924965893585,0.12005457025920874,0.009549795361527967,0.08321964529331514,6.0
225,1,0.014151166061314323,0.9489581351544214,1.3060524,0.03819918144611187,0.11869031377899045,0.009549795361527967,0.08458390177353342,6.0
226,2,0.01423857505526348,0.9698157287177164,1.844302,0.036834924965893585,0.11596180081855388,0.009549795361527967,0.08185538881309687,6.0
227,3,0.014141221120516924,0.9602624507769311,1.0034078,0.03819918144611187,0.12005457025920874,0.008185538881309686,0.08458390177353342,6.0
228,4,0.014100034281018754,0.9507949909404535,1.0819116,0.03819918144611187,0.11869031377899045,0.009549795361527967,0.08321964529331514,6.0
229,1,0.014171666958490437,0.9451725961505487,1.819778,0.036834924965893585,0.11732605729877217,0.009549795361527967,0.08458390177353342,6.0
23,3,0.01419610952226004,0.9970089089388379,2.3175547,0.023192360163710776,0.12824010914051842,0.002728512960436562,0.08731241473396999,3.0
230,2,0.014443116391797165,0.9720619727766002,2.2655602,0.01637107776261937,0.08458390177353342,0.004092769440654843,0.054570259208731244,6.0
231,3,0.014194508928826033,1.0059536856811118,2.159504,0.036834924965893585,0.11732605729877217,0.010914051841746248,0.08458390177353342,6.0
232,4,0.014104867516411131,0.9409630489200312,1.5761762,0.036834924965893585,0.12278308321964529,0.009549795361527967,0.08321964529331514,6.0
233,1,0.014188850138349899,0.9922074848173146,1.0293688,0.03137789904502047,0.10231923601637108,0.005457025920873124,0.07366984993178717,6.0
234,2,0.014525825313080134,0.8524633171084067,1.5111083,0.010914051841746248,0.07366984993178717,0.004092769440654843,0.04365620736698499,6.0
235,3,0.014084669407132837,0.9262229665891367,1.4943308,0.03956343792633015,0.1296043656207367,0.010914051841746248,0.08731241473396999,6.0
236,4,0.01405747862536644,0.894106770150952,1.0244586,0.034106412005457026,0.11050477489768076,0.005457025920873124,0.07639836289222374,6.0
237,1,0.014286810622269655,0.9394253585466461,1.9816172,0.03819918144611187,0.11050477489768076,0.009549795361527967,0.08185538881309687,6.0
