config,network,rmse,mape,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0
248,8,0.014957693,0.9477858,0.03547066848567531,0.09140518417462483,0.015006821282401092,0.06275579809004093
281,9,0.0141435955,0.95668787,0.036834924965893585,0.0941336971350614,0.015006821282401092,0.06821282401091405
882,2,0.014437546,0.9507471,0.034106412005457026,0.08867667121418826,0.015006821282401092,0.058663028649386086
231,7,0.014198417,0.9998628,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.058663028649386086
760,8,0.015003839,0.9327105,0.03547066848567531,0.09549795361527967,0.015006821282401092,0.06412005457025921
210,2,0.014546091,0.8682465,0.03547066848567531,0.08867667121418826,0.013642564802182811,0.06275579809004093
12,12,0.014117703,0.9160599,0.03547066848567531,0.09004092769440655,0.013642564802182811,0.061391541609822645
696,8,0.015115539,0.93174237,0.03547066848567531,0.0941336971350614,0.015006821282401092,0.06275579809004093
35,3,0.014412463,0.9205022,0.036834924965893585,0.08867667121418826,0.010914051841746248,0.06412005457025921
952,8,0.0151764415,0.99536514,0.03956343792633015,0.09549795361527967,0.019099590723055934,0.0723055934515689
456,8,0.015141609,0.90974575,0.03547066848567531,0.0941336971350614,0.015006821282401092,0.06412005457025921
936,8,0.015022168,0.97096115,0.03956343792633015,0.09686221009549795,0.017735334242837655,0.0723055934515689
713,9,0.01419528,0.9957954,0.03547066848567531,0.08731241473396999,0.01227830832196453,0.058663028649386086
883,3,0.014231735,0.92864513,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.05593451568894952
232,8,0.014950875,0.9218284,0.03547066848567531,0.0941336971350614,0.01637107776261937,0.06412005457025921
249,9,0.0141944755,0.99381864,0.036834924965893585,0.09140518417462483,0.013642564802182811,0.061391541609822645
761,9,0.0142019475,1.0051534,0.034106412005457026,0.09004092769440655,0.01227830832196453,0.058663028649386086
211,3,0.014430609,0.894759,0.03547066848567531,0.09004092769440655,0.013642564802182811,0.06684856753069578
120,8,0.015086412,0.9158054,0.036834924965893585,0.0941336971350614,0.01637107776261937,0.06548431105047749
697,9,0.0142026935,1.0012559,0.036834924965893585,0.09140518417462483,0.01227830832196453,0.058663028649386086
953,9,0.014214499,0.9947653,0.036834924965893585,0.0941336971350614,0.015006821282401092,0.06275579809004093
457,9,0.014151651,0.9593904,0.036834924965893585,0.08867667121418826,0.01227830832196453,0.06002728512960437
937,9,0.01421375,0.99829537,0.036834924965893585,0.0927694406548431,0.015006821282401092,0.06002728512960437
233,9,0.014192374,0.9984758,0.036834924965893585,0.09140518417462483,0.013642564802182811,0.061391541609822645
