Date,rv5_AEX,rv5_BFX,rv5_FCHI,rv5_GDAXI,rv5_IBEX,rv5_IXIC,rv5_MXX,rv5_RUT,rv5_SPX,rv5_STOXX50E,rv5_AORD,rv5_FTSE,rv5_SSMI,return_AEX,return_BFX,return_FCHI,return_GDAXI,return_IBEX,return_IXIC,return_MXX,return_SPX,return_STOXX50E,return_AORD,return_FTSE,return_SSMI,returnsq_AEX,returnsq_BFX,returnsq_FCHI,returnsq_GDAXI,returnsq_IBEX,returnsq_IXIC,returnsq_MXX,returnsq_SPX,returnsq_STOXX50E,returnsq_AORD,returnsq_FTSE,returnsq_SSMI
2017-03-13T00:00:00Z,1.0825314359016047e-5,1.265265867591478e-5,1.4175589777599802e-5,9.485608937598718e-6,2.38065425761388e-5,5.860818472822932e-6,1.1250649087801835e-5,1.7971340866237852e-5,5.461830069868128e-6,1.317929553303728e-5,1.1855557808592194e-5,1.9549688032727592e-5,1.4756370966669552e-5,1.1716004074990849e-4,8.116237694295592e-4,0.0013074118509823762,0.0023960163001710555,-9.810694442968781e-4,0.0023955690638306493,-2.483985459278415e-5,2.86520880061758e-4,-8.540309608093821e-4,-0.002568634778670642,0.0025755459761622745,0.001507518861517454,1.3726475148520219e-8,6.587331431030462e-7,1.709325748089163e-6,5.740894110685393e-6,9.624972545329852e-7,5.738751139582454e-6,6.170183761906598e-10,8.209421471136433e-8,7.293688820209964e-7,6.5978846261963786e-06,6.633437075325684e-6,2.2726131178308806e-6
2017-03-14T00:00:00Z,2.6421942260297656e-5,2.4460635589174136e-5,3.795877654832096e-5,2.611013524230937e-5,3.9043319523677874e-5,1.297085640623124e-5,2.38220798480543e-5,4.857999061241188e-5,1.4428728694724083e-5,3.423999500006654e-5,1.7011357952100046e-5,1.876470541592763e-5,1.215299026130718e-5,-0.004304869186016802,-0.005812578519291733,-0.007338790802549511,-7.054397533501344e-4,-0.009075330672198234,-0.0032333867217033685,-2.79650165202483e-4,-0.003490183981464945,-0.005777979702083158,1.8985648632607877e-4,-0.0019147260459355664,-0.0022829085856059805,1.8531898708716962e-5,3.378606904293168e-5,5.3857850443585294e-5,4.976452456066985e-7,8.236162680974206e-5,1.0454789692087657e-5,7.820421489777603e-8,1.2181384224474495e-5,3.338504943768498e-5,3.604548540008453e-8,3.6661758309840485e-6,5.211671610233499e-6
2017-03-15T00:00:00Z,1.4260595900522068e-5,2.3690163553291897e-5,2.067838689004628e-5,1.387800993194368e-5,3.148864867426392e-5,1.9375701287513707e-5,3.535576847644657e-5,4.018449359474687e-5,1.845940163264653e-5,1.4557788387301194e-5,1.555721361775633e-5,1.2454821337789364e-5,1.2543747573496298e-5,0.0038752152461203337,0.002867967694017537,0.0034394948603786446,0.002673202564709598,0.0066786788193038404,0.0073542057678430695,0.008086908596263598,0.008109518126972581,0.003604517917512595,0.0029467792026469652,0.002248409342893609,0.002289818576070246,1.501729320376348e-5,8.225238693928269e-6,1.1830124894571112e-5,7.146011951969973e-6,4.460475077141774e-5,5.4084342475776273e-5,6.539809064432207e-5,6.576428425169689e-5,1.2992549417669336e-5,8.683507669152684e-6,5.0553445732112715e-6,5.243269111316369e-6
2017-03-16T00:00:00Z,2.0896719913838424e-5,2.9623942966097307e-5,2.2929979369549285e-5,2.742973329363426e-5,4.1717042578922187e-5,9.596400909136502e-6,3.559711838115905e-5,1.984437374796453e-5,1.0412375887641516e-5,4.548875343031923e-5,1.53938866328219e-5,4.597550492259332e-5,1.7453260104256056e-5,0.004463292504187422,0.004205828809542567,0.005199015118302341,0.005097473135640129,0.020579331866649397,1.2083919360250661e-4,0.012274187569198958,-0.0014436133120510064,0.008409790848213916,0.0011865967565682922,0.005690708342571682,-0.0018016683268893274,1.9920979977935625e-5,1.7688995975178244e-5,2.7029758200336308e-5,2.5984232368572813e-5,4.235089000776914e-4,1.4602110710504075e-8,1.5065568048387823e-4,2.0840193947308765e-6,7.072458211070253e-5,1.4080118626983909e-6,3.238416144021494e-5,3.2460087601161883e-6
2017-03-17T00:00:00Z,2.0894061076695527e-5,1.9473290403975984e-5,2.5669736012766217e-5,1.5148972860070152e-5,3.976379065901182e-5,6.351325982231699e-6,2.5954662092609856e-5,1.2357616380726448e-5,6.386087516878014e-6,2.3960068442989335e-5,1.7386796889750476e-5,1.083681612426604e-5,1.122757369629734e-5,0.0026606865503628896,0.00477870072558062,0.0013219431495770095,-5.298623061538166e-4,0.007056500653209952,3.999404834864606e-5,0.01110989182065758,-0.001365796061554292,9.73646236465342e-4,0.0034143487148980967,5.958656270177443e-4,0.0035759547630718203,7.079252919281973e-6,2.2835980624664747e-5,1.7475336907135838e-6,2.8075406348264085e-7,4.979420146875247e-5,1.5995239033138386e-9,1.234296962667142e-4,1.865398881757215e-6,9.479869937831246e-7,1.1657777146926283e-5,3.5505584546124953e-7,1.2787452467536038e-5
2017-03-21T00:00:00Z,2.779585939993904e-5,3.531359065117343e-5,3.570924327557759e-5,4.5152352448950325e-5,5.502371173706106e-5,5.762096128483322e-5,3.0774044249864325e-5,9.417535184461742e-5,4.198479801938434e-5,4.748931280780333e-5,8.353226534427552e-6,2.4693515198295855e-5,1.7661068713994583e-5,-0.004142322703382106,-0.00928612638032078,-0.004021699404427537,-0.008107796911501097,-0.0029471252611781296,-0.018418774647766867,-9.034549337094688e-5,-0.01251979833050676,-0.004281464332949625,8.425686805004773e-4,-0.006690388347561083,-0.008623328651717443,1.7158837378954843e-5,8.623214315128953e-5,1.6174066099572804e-5,6.573637075814673e-5,8.685547305074258e-6,3.3925125952521945e-4,8.162308172439807e-9,1.5674535023655985e-4,1.833093683431978e-5,7.099219813603154e-7,4.4761296241181116e-5,7.436179703553099e-5
2017-03-22T00:00:00Z,4.047951642570612e-5,3.785904324984302e-5,3.8321545576942274e-5,2.8727811034981393e-5,5.2953846453966875e-5,3.770492536312978e-5,2.3705430173258903e-5,6.902131559973354e-5,2.873986723295791e-5,3.9505080064759105e-5,6.906342080568305e-5,5.363956666799614e-5,2.2638947911817157e-5,-0.007786403420311672,-0.007258207329435606,-4.7232213246850563e-4,-0.003809218849818663,0.004959100116300519,0.004789485531270898,-0.0020962888955153858,0.0019605927268440126,-9.549049105981311e-4,-0.015066524503410506,-0.007162533213071143,-0.005588515340088307,6.06280782238413e-5,5.268157363707276e-5,2.2308819681959659e-7,1.4510148245813818e-5,2.459267396349182e-5,2.293917165425328e-5,4.394427133461116e-6,3.843923840553641e-6,9.118433882844247e-7,2.2700016061186917e-4,5.1301882028347226e-5,3.1231503706402326e-5
2017-03-23T00:00:00Z,2.2713558648346496e-5,2.5323698995529757e-5,2.679490135449254e-5,2.8801312359665468e-5,3.57357794822411e-5,2.5103833962391972e-5,2.045934690282631e-5,4.668410038076962e-5,2.6084969089896136e-5,3.020891482527178e-5,5.829989987842722e-6,1.4252838310011576e-5,2.1242717196631173e-5,0.006557914015091093,0.008200017376916335,0.007007843400181457,0.010572487786802753,0.006806716284151193,-6.783893565405208e-4,0.003902882361437321,-0.0010608001301495307,0.008390575262692934,0.0022657961763226098,0.0020232710258483166,0.0071867990914640245,4.300623622932818e-5,6.724028498172985e-5,4.9109869121466806e-5,1.1177749800209338e-4,4.633138657292902e-5,4.6021211906746186e-7,1.523249072721856e-5,1.1252969161252612e-6,7.04017532389146e-5,5.133832312638159e-6,4.0936256440372994e-6,5.165008118106813e-5
2017-03-24T00:00:00Z,1.6273303905329574e-5,1.580519364009455e-5,2.2932726240631956e-5,1.842624022113122e-5,2.227129333127032e-5,2.9996984327244895e-5,2.5415922979100412e-5,4.287624356447518e-5,2.5633124259627473e-5,2.1442999066020677e-5,2.1046465065617552e-5,9.068708794640082e-6,1.4201268410397156e-5,-0.00214860618638113,-0.0030254549937804853,-0.0019261004422528316,0.0021379468679203484,-0.0027851521936543833,0.0018967189710288324,0.008325269779385636,-7.248879939112385e-4,-0.002018474359601896,0.009115707023459763,-8.775205431437172e-4,-0.0017399095460817193,4.616508544155264e-6,9.153377919391277e-6,3.7098629136465537e-6,4.570816810050427e-6,7.757072741817824e-6,3.5975428550606725e-6,6.931011689955175e-5,5.254626037166597e-7,4.074238740370285e-6,8.309611453755364e-5,7.700423036392444e-7,3.0272852285462947e-6
2017-03-26T23:00:00Z,2.2063949184824193e-5,2.4421145367314105e-5,2.9900071943496623e-5,2.6195187540625793e-5,3.072519059117306e-5,2.5555012889412897e-5,1.544779150904113e-5,8.40553455983611e-5,2.292387864244977e-5,5.0152382214903e-5,5.276210167216955e-5,9.122794066596224e-5,1.8679142253967417e-5,-0.004762893783245126,-0.0027965546105246375,-0.0011159692353572837,-0.006269138703370203,9.130646578991986e-4,0.0019943255076633193,0.004657475061394578,-0.0011651854197625156,-0.0025957769999855884,-0.0015192848473297715,-0.005948976271751505,-0.0023234348921583603,2.2685157190475067e-5,7.820717689646607e-6,1.2453873342639204e-6,3.930210008209423e-5,8.336870695045804e-7,3.977334230516556e-6,2.169207394751243e-5,1.3576570624271496e-6,6.738058233654182e-6,2.3082264473258473e-6,3.539031868186243e-5,5.398349698098931e-6
2017-03-27T23:00:00Z,1.7460386327251757e-5,1.7475969474667687e-5,1.9451693196082265e-5,2.674575448919635e-5,2.1491895097009365e-5,2.128807387263611e-5,2.706065938616927e-5,2.592048911958896e-5,2.1730734942068297e-5,2.351768102584014e-5,2.389197397488e-5,2.020697127805203e-5,1.8327168011368512e-5,0.005603353153508905,0.007713589716948022,0.006001582516089954,0.013612920933978145,0.007390315995168706,0.005935053648048694,5.321724733331479e-4,0.007208296462028585,0.008437009785602356,0.011765750932967833,0.00687688998377034,3.9207314702238705e-4,3.13975665629382e-5,5.949946632140626e-5,3.601899269743662e-5,1.8531161635474043e-4,5.461677050844642e-5,3.5224861805216105e-5,2.8320754137351996e-7,5.195953788449382e-5,7.118313412234992e-5,1.3843289501663344e-4,4.729161584888083e-5,1.5372135261603834e-7
